--------------------------------------------------
datetime,message,random_int_1,random_int_2
--------------------------------------------------
2004-10-15T00:00, Critical path event 1,72,5
2004-10-15T00:07:47, Critical path event 2,19,9
2004-10-15T00:27:38, Critical path event 3,25,8
2004-10-15T00:37:09, Critical path event 4,29,3
2004-10-15T00:51:21, Critical path event 5,54,4
2004-10-15T00:58:36, Critical path event 6,74,0
2004-10-15T01:05:52, Critical path event 7,79,9
2004-10-15T01:10:52, Critical path event 8,27,9
2004-10-15T01:20:03, Critical path event 9,34,10
2004-10-15T01:29:29, Critical path event 9,10,8
2004-10-15T01:46:35, Misc. noise event 0,1,1
2004-10-15T01:48:24, Critical path event 9,49,4
2004-10-15T01:54:52, Critical path event 9,47,2
2004-10-15T02:05:49, Critical path event 13,6,3
2004-10-15T02:24:07, Misc. noise event 1,3,0
2004-10-15T02:29:05, Critical path event 14,3,2
2004-10-15T02:36:52, Critical path event 15,25,7
2004-10-15T02:44:25, Misc. noise event 2,16,3
2004-10-15T02:49:18, Critical path event 16,49,6
2004-10-15T02:58:49, Critical path event 17,41,5
2004-10-15T03:13:01, Critical path event 18,33,6
2004-10-15T03:34:14, Critical path event 19,35,7
2004-10-15T03:41:30, Critical path event 19,18,0
2004-10-15T03:43:38, Misc. noise event 3,13,0
2004-10-15T03:46:30, Critical path event 19,43,3
2004-10-15T03:53:19, Misc. noise event 4,69,1
2004-10-15T03:55:41, Critical path event 19,17,5
2004-10-15T04:01:07, Misc. noise event 5,80,5
2004-10-15T04:05:07, Critical path event 23,26,5
2004-10-15T04:10:42, Misc. noise event 6,24,0
2004-10-15T04:15:28, Critical path event 24,13,6
2004-10-15T04:21:56, Critical path event 25,43,8
2004-10-15T04:29:03, Critical path event 26,40,9
2004-10-15T04:38:07, Critical path event 27,73,3
2004-10-15T04:45:54, Critical path event 28,70,2
2004-10-15T05:01:42, Misc. noise event 7,50,9
2004-10-15T05:05:30, Critical path event 29,88,10
2004-10-15T05:28:21, Critical path event 29,22,6
2004-10-15T05:42:33, Critical path event 29,75,10
2004-10-15T06:01:51, Misc. noise event 8,29,4
2004-10-15T06:04:05, Critical path event 29,96,8
2004-10-15T06:11:21, Critical path event 33,5,6
2004-10-15T06:16:21, Critical path event 34,38,9
2004-10-15T06:25:32, Critical path event 35,36,3
2004-10-15T06:34:58, Critical path event 36,76,10
2004-10-15T06:51:32, Critical path event 37,67,5
2004-10-15T06:58:00, Critical path event 38,7,5
2004-10-15T07:05:07, Critical path event 39,57,9
2004-10-15T07:14:03, Misc. noise event 9,0,1
2004-10-15T07:14:11, Critical path event 19,54,2
2004-10-15T07:24:27, Critical path event 19,78,2
2004-10-15T07:31:54, Critical path event 19,94,7
2004-10-15T07:56:36, Critical path event 19,52,2
2004-10-15T08:06:41, Misc. noise event 10,34,3
2004-10-15T08:10:48, Critical path event 44,12,7
